"Story","Title","Result","Date","Stability","Duration (s)"
"Admin do some thing","Access Company detail","SUCCESS","2017-09-19T16:23:06.422+07:00[Asia/Bangkok]","0.0","54.13"
"Admin do some thing","Download screen","ERROR","2017-09-19T16:24:00.876+07:00[Asia/Bangkok]","0.0","42.66"
